"28"	"62.76"	"71"	"0"	"9/25/2013 23:49:18"	"28"	"40.8242005,-73.874361 40.8249804,-73.868411 40.8254,-73.865281 40.82591,-73.860311 40.8266906,-73.854581 40.8273104,-73.84998"	"gndxFvq{aM{Ced@sAqReBa^{Cyb@{Bw["	"BBBBBB"	"NYC_DOT_LIC"	"4616260"	"Bronx"	"BE S Castle Hill Ave - Stratford Ave"
"30"	"8.7"	"1528"	"0"	"3/1/2013 10:56:36"	"30"	"40.82421,-73.87429 40.8231004,-73.88267 40.8225005,-73.88715 40.822371,-73.88751 40.8206906,-73.89005 40.81654,-73.89422 40.81367,-73.897231 40.80738,-73.90609 40.80709,-73.90658 40.80481,-73.91176 40.8043905,-73.913001 40.803881,-73.91409 40.8036305,-73.914921 40.80359,-73.9157 40.80393,-73.917031 40.8043204,-73.918321 40.80514,-73.920081 40.80801,-73.927191 40.8086205,-73.92821 40.8106606,-73.93088 40.81127,-73.93132 40.8121805,-73.931541 40.81302,-73.93138 40.81369,-73.93116 "	"indxFhq{aM|Ejs@vB~ZXfAnIzN|X`Y|PxQhf@jv@x@`BfMj_@rAvFdBxEp@dDFzCcAhGmA`GcD~I}Plk@yBjEwKtOyBvAuDj@gD_@eCk@"	"BBBBBBBBBBBBBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616221"	"Bronx"	"BE S Stratford Ave - MDE N 138th st"
"31"	"34.18"	"88"	"0"	"9/25/2013 23:49:29"	"31"	"40.79789,-73.91988 40.79771,-73.92004 40.79758,-73.92022 40.7974704,-73.92059 40.797501,-73.92109 40.79766,-73.92165 40.79811,-73.922631 40.79834,-73.922991 40.79872,-73.92381 40.799091,-73.924681 40.7993305,-73.92524 40.7999805,-73.926881 40.80096,-73.929161 40.8015004,-73.93052 40.80185,-73.93137"	"yi_xFfndbMb@^Xb@ThAEbB_@nByAbEm@fAkAbDiAlDo@nBaCfIcEfMkBnGeAhD"	"BBBBBBBBBBBBBBB"	"MTA Bridges & Tunnels"	"4456479"	"Queens"	"BE S TBB Exit Ramp - Manhattan Lift Span"
"32"	"45.98"	"157"	"0"	"9/25/2013 23:49:28"	"32"	"40.772251,-73.919891 40.77391,-73.9222 40.77474,-73.92301 40.77647,-73.92431 40.7783606,-73.925761 40.7810205,-73.92776 40.78372,-73.92982 40.7842205,-73.93002 40.78477,-73.93011 40.78549,-73.930051 40.7860304,-73.92985 40.7866206,-73.929511 40.7883206,-73.92802 40.7896406,-73.92686 40.7908705,-73.925891 40.7922,-73.924691 40.79453,-73.9226 40.7958804,-73.921411 40.79702,-73.920511 40.7984805,-73.91942 40.7991,-73.91897 40.8002004,-73.918151 40.8015705,-73.917111 40.80192,-73.91687 40.80223,-73.91668"	"qizwFhndbMkIlMeD`DyIbGyJ`HsOnK{OzKcBf@mBPoCKkBg@uBcAsIiHgGgFuFaEiGoFqMaLmGmFcFsDcHyE{ByA{EcDqGoEeAo@}@e@"	"BBBBBBBBBBBBBBBBBBBBBBBBB"	"MTA Bridges & Tunnels"	"4456478"	"Queens"	"BE S TBB Exit Ramp - Queens Anchorage"
"35"	"60.27"	"124"	"0"	"9/25/2013 23:49:18"	"35"	"40.83037,-73.85062 40.82996,-73.849251 40.8294605,-73.847771 40.8290406,-73.84645 40.8288104,-73.84523 40.8288104,-73.844191 40.82898,-73.842891 40.8298604,-73.838141 40.83005,-73.836841 40.83006,-73.83578 40.8300205,-73.834511 40.8300906,-73.833971 40.83028,-73.83319 40.8304905,-73.832721 40.8330205,-73.82857 40.8340704,-73.82647 40.8345205,-73.82584 40.83484,-73.82558 40.83527,-73.82527 40.8357305,-73.825151 40.83626,-73.825121 40.83675,-73.82522 40.8377905,-73.82557 40.83874,-73.82571"	"ytexFj}vaMpAqGbBgHrAgGl@sF?oEa@cGoDu\e@cGAsEF}FMkBe@{Ci@}AyN}XqEcLyA}B_As@uA}@{AWiBEaBRoEdA}DZ"	"BBBBBBBBBBBBBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616261"	"Bronx"	"BE S Waterbury Ave - Castle Hill Av"
"39"	"52.2"	"218"	"0"	"9/25/2013 23:49:18"	"39"	"40.69153,-73.99911 40.6922605,-73.99937 40.6928906,-73.99937 40.6933406,-73.99925 40.69406,-73.99898 40.695,-73.99853 40.697371,-73.99741 40.699431,-73.99642
40.69977,-73.9962 40.7001405,-73.99584 40.7004504,-73.995421 40.7007905,-73.994881 40.7010805,-73.994341 40.7013704,-73.99355 40.70159,-73.992691 40.7016604,-73.991981 40.70167,-73.9912 40.70159,-73.990591 40.7014206,-73.989381 40.7010805,-73.98712 40.7009506,-73.98653 40.7008,-73.98609 40.7006,-73.98568 40.70026,-73.985221 40.6996004,-73.984491 40.6993104,-73.98416 40.6979904,-73.982711
40.6973006,-73.981951 40.69693,-73.98157 40.69653,-73.980871 40.6963606,-73.98027 40.6962705,-73.97947 40.6957,-73.96554 40.69576,-73.96468 40.6961304,-73.96366 40.6965605,-73.96311 40.69717,-73.96262 40.6978104,-73.962421 40.7305,-73.96169 40.7012605,-73.96114 40.702431,-73.96047
40.704871,-73.95908 40.7068805,-73.957941 40.7089206,-73.95675 40.71003,-73.95604 40.710691,-73.955611 40.7113805,-73.95514 40.71215,-73.95462
40.7132805,-73.953791 40.7139106,-73.95317 40.7158606,-73.95081 40.71759,-73.94829
"	"aqjwFl}sbMqCr@}B?yAWoCu@{DyAyM_F{KeEcAk@iAgA}@sAcAkBy@kBy@}Ck@kDMmCA{CNyB`@qFbAcMXuB\wAf@qAbA{AbCqCx@aAfGaHhCwChAkAnAkC`@wBP_DpBavAKkDiAkEuAmByBaB_Cg@{LqCuFmBiFeCgNuGqKcFwKmF}EmCcCuAiC}AyCgBaFeD}B{BeKwMyIwN"	"BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616257"	"Brooklyn"	"BQE N Atlantic Avenue - Leonard Street"
"40"	"52.2"	"218"	"0"	"9/25/2013 23:49:18"	"40"	"40.69153,-73.99911 40.6922605,-73.99937 40.6928906,-73.99937 40.6933406,-73.99925 40.69406,-73.99898 40.695,-73.99853 40.697371,-73.99741 40.699431,-73.99642 40.69977,-73.9962 40.7001405,-73.99584 40.7004504,-73.995421 40.7007905,-73.994881 40.7010805,-73.994341 40.7013704,-73.99355 40.70159,-73.992691 40.7016604,-73.991981 40.70167,-73.9912 40.70159,-73.990591 40.7014206,-73.989381 40.7010805,-73.98712 40.7009506,-73.98653 40.7008,-73.98609 40.7006,-73.98568 40.70026,-73.985221 40.6996004,-73.984491 40.6993104,-73.98416 40.6979904,-73.982711 40.6973006,-73.981951 40.69693,-73.98157 40.69653,-73.980871 40.6963606,-73.98027 40.6962705,-73.97947 40.6957,-73.96554 40.69576,-73.96468 40.6961304,-73.96366 40.6965605,-73.96311 40.69717,-73.96262 40.6978104,-73.962421 40.7305,-73.96169 40.7012605,-73.96114 40.702431,-73.9604 40.704871,-73.95908 40.7068805,-73.957941 40.7089206,-73.95675 40.71003,-73.95604 40.710691,-73.955611 40.7113805,-73.95514 40.71215,-73.95462 40.7132805,-73.953791 40.7139106,-73.95317 40.7158606,-73.95081 40.71759,-73.94829"	"}sowFx_jbMwDgHuHgOgG}LqBkDmB}CeCeFoD{Hg@qAcAgGuC_Qy@{D}AwD_CqD{BuC{BuCyBcCcEyDqEuCiIuEsBkBiBuBoAqBs@aBeB{FwAgI"	"BBBBBBBBBBBBBBBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616235"	"Brooklyn"	"BQE N Leonard Street - 46th Street"
"41"	"0"	"0"	"-101"	"6/25/2012 06:36:35"	"41"	"40.73499,-73.92026 40.7351,-73.919491 40.73523,-73.91835 40.7353305,-73.916901 40.7364704,-73.90819 40.7366,-73.9076 40.73682,-73.90684 40.7373005,-73.90564 40.73794,-73.90419 40.7388506,-73.90173 40.7389606,-73.901541 40.7392004,-73.90102 40.739591,-73.900371 40.7398504,-73.9 40.7405905,-73.899071 40.7420204,-73.897331 40.743351,-73.895681 40.7434805,-73.89557 40.74418,-73.89498 40.7445504,-73.8948 40.7451,-73.89466 40.745701,-73.89467 40.74607,-73.894771 40.7465204,-73.89499 40.7478005,-73.895671 40.7484904,-73.89606 40.74924,-73.89649 40.75018,-73.897051 40.75104,-73.897231 40.7521006,-73.897421 40.7529306,-73.89776 40.7547804,-73.898941 40.75663,-73.89987 40.75699,-73.97 40.7581604,-73.90083 40.7587204,-73.90115 40.75932,-73.90134 40.7622406,-73.90206 40.7629,-73.90232 40.766431,-73.903771 40.7673906,-73.90416 40.76803,-73.90452 40.768401,-73.904981 40.76854,-73.90537 40.76854,-73.905871 40.7687106,-73.90679 40.76883,-73.908 40.7689105,-73.908661 40.76923,-73.91038 40.76935,-73.911561 40.7695104,-73.91265"	"u`swFrpdbMUyCYcFSaHcFmu@YuBk@wC_BoF_CaHuDkNUe@o@gBmAaCs@iAsCyD}G{IiGiIYUkCuBiAc@mB[wB@iARyAj@_GfCiClAuCtA{DnBkDb@sEd@eDbAqJjFqJxDgAf@iFvCoB~@wBd@gQnCcCr@aU`H_ElA_CfAiAzA[lA?bBa@vDWpFObC_AvIWjF_@xE"	"BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616317"	"Queens"	"BQE N GCP W 46th St - 37th St"
"42"	"47.85"	"206"	"0"	"9/25/2013 23:49:18"	"42"	"40.71772,-73.94831 40.71862,-73.946851 40.72016,-73.94432 40.721481,-73.942051 40.7221204,-73.941121 40.7226804,-73.94034 40.72332,-73.93917 40.72411,-73.93774 40.72437,-73.937211 40.7247205,-73.93591 40.7254605,-73.933 40.72574,-73.932121 40.72612,-73.93137 40.7268705,-73.930281 40.7274704,-73.929561 40.72804,-73.92886 40.728711,-73.92814 40.72968,-73.92725 40.73064,-73.926571 40.7323504,-73.925391 40.73293,-73.92488 40.7334505,-73.9243 40.7339006,-73.923651 40.7341706,-73.92314 40.7347004,-73.921871 40.7351106,-73.92022"	"wtowF|_jbMsDcHsHyNgGeM_CyDoB{C_CiF}C}Gs@iBeAcGsCeQw@oDkAuCuCyEwBoCqBkCeCoCaEqD_EgCuIkFsBeBgBsByAaCu@eBiB}FqAiI"	"BBBBBBBBBBBBBBBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616232"	"Brooklyn"	"BQE S 46th Street - Leonard Street"
"43"	"47.85"	"206"	"0"	"9/25/2013 23:49:18"	"43"	"40.69158,-73.99929 40.69221,-73.999531 40.69286,-73.99952 40.69335,-73.999361 40.69411,-73.99907 40.6950804,-73.998591 40.6974105,-73.997481 40.69959,-73.99644 40.6998306,-73.996271 40.70022,-73.9959 40.70053,-73.995471 40.7008805,-73.9949 40.70116,-73.994351 40.7014604,-73.99355 40.70167,-73.992651 40.7017305,-73.99195 40.7017305,-73.9912 40.7016604,-73.99053 40.7015,-73.98931 40.7011705,-73.987091 40.70103,-73.986461 40.7008805,-73.986 40.70064,-73.98554 40.70031,-73.985081 40.69964,-73.984371 40.69935,-73.984051 40.69803,-73.9826 40.69731,-73.981851 40.697,-73.981501 40.696611,-73.98076 40.69646,-73.980201 40.6963805,-73.97942 40.6958205,-73.965561 40.6959105,-73.96469 40.6960905,-73.964081 40.69646,-73.963411 40.697,-73.9629 40.6978805,-73.962551 40.70015,-73.96182 40.7014405,-73.961211 40.7025,-73.9606 40.70503,-73.959161 40.7069705,-73.95807 40.70904,-73.95686 40.7102,-73.956211 40.71106,-73.95596 40.71181,-73.95556 40.71246,-73.955081 40.7134,-73.954051 40.714071,-73.95328 40.716,-73.950911 40.71773,-73.94829"	"kqjwFp~sbM}Bn@aCAaB_@wCy@aE_BqM}EsLoEo@a@mAiA}@uAeAqBw@mB{@_Di@sDKkC?uCLeC^sF`A{LZ}B\{An@{A`A{AdCmCx@_AfGaHnCuC|@eAlAsC\oBN{CnBsuAQmDc@yBiAeCkBeBoDeAeMqCaGyBsEyByN_HcKyE}KqFgFaCkDq@uCoAaC_B{DmEeCyCaKyMyIkO"	"BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616271"	"Brooklyn"	"BQE S Leonard Street - Atlantic Avenue"
